"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","1997","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1999","12257",""
"United States of America","1996","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1998","28487",""
"United States of America","1996","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1998","15965",""
"United States of America","1996","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1998","12522",""
"United States of America","1995","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1997","29583",""
"United States of America","1995","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1997","16622",""
"United States of America","1995","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1997","12961",""
"United States of America","1994","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1995","31710",""
"United States of America","1994","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1995","17814",""
"United States of America","1994","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1995","13896",""
"United States of America","1993","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1995","33466",""
"United States of America","1993","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1995","18959",""
"United States of America","1993","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1995","14507",""
"United States of America","1992","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1993","34400",""
"United States of America","1992","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1993","18730",""
"United States of America","1992","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1993","15710",""
"United States of America","1991","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1993","36766",""
"United States of America","1991","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1993","21008",""
"United States of America","1991","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1993","15758",""
"United States of America","1990","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1991","38100",""
"United States of America","1989","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1991","39655",""
"United States of America","1989","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1991","22361",""
"United States of America","1989","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1991","17294",""
"United States of America","1988","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1990","38910",""
"United States of America","1988","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1990","22007",""
"United States of America","1988","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1990","16903",""
"United States of America","1987","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1990","38408",""
"United States of America","1987","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1990","21798",""
"United States of America","1987","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1990","16610",""
"United States of America","1986","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1988","38891",""
"United States of America","1986","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1988","22224",""
"United States of America","1986","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1988","16667",""
"United States of America","1985","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1987","40030",""
"United States of America","1985","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1987","22958",""
"United States of America","1985","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1987","17072",""
"United States of America","1984","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1983","39580",""
"United States of America","1984","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1978","22359",""
"United States of America","1984","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1978","17221",""
"United States of America","1983","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1983","40627",""
